Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
sefa-6-person-tea-set,Sefa 6 Person Tea Set,"<p class=""selectable-text copyable-text"" data-mce-fragment=""1"">?name Tea Set with Coffee Cups, Saucers &amp; Metal Cover Turkish Tea Serving</p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Description:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Premium Quality.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">The Cups hold 2 oz. Ideal for Turkish, Greek, and Arabic Tea</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Glass cups are removable from the holders and machine-washable.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Thick material, an Authentic Gift for anyone and honor your guests with this great tea set.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Made in Turkey.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Dimensions:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Each Cup is Approximately 4.75'' x 4.10'' (12.06 cm x 10.16 cm)</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Package/Set includes</strong>: 18 PC</span></h4>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Glass Cup - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Cover - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Saucer - 6 pieces</span></li>
</ul>",Elite Turkish Brands,,,,true,Color,Gold,,,,,12-006-K6-18,18550.0,shopify,9,deny,manual,9.25,,true,true,BSM099,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-006-K6-18.jpg?v=1666731097,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-006-K6-18.jpg?v=1666731097,kg,,,,,active
sefa-6-person-tea-set,,,,,,,,,Silver,,,,,12-006-K6-11,18550.0,shopify,9,deny,manual,9.25,,true,true,BSM098,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-006-K6-11.jpg?v=1666731139,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-006-K6-11.jpg?v=1666731139,kg,,,,,
oval-delight-case,Oval Delight Case,,Elite Turkish Brands,,,,true,Color,Gold,,,,,13-003-18,16200.0,shopify,100,deny,manual,11.66,,true,true,BSM150,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-003-18.jpg?v=1666730790,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-003-18.jpg?v=1666730790,kg,,,,,active
oval-delight-case,,,,,,,,,Silver,,,,,13-003-11,16200.0,shopify,100,deny,manual,11.66,,true,true,BSM149,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-003-11.jpg?v=1666730829,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-003-11.jpg?v=1666730829,kg,,,,,
nisa-coffee-set,Nisa Coffee Set,"<p class=""selectable-text copyable-text"" data-mce-fragment=""1"">?name Metal Turkish Coffee Set with Coffee Cups, Saucers &amp; Metal Cover Turkish Coffee Espresso Serving</p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Description:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Premium Quality.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">The Cups hold 2 oz. Ideal for Turkish, Greek, and Arabic Coffee and Espresso.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Porcelain cups are removable from the holders and machine-washable.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Thick material, an Authentic Gift for anyone and honor your guests with this great coffee set.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Made in Turkey.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Dimensions:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Each Cup is Approximately 4.75'' x 4.10'' (12.06 cm x 10.16 cm)</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Package/Set includes</strong>: 18 PC</span></h4>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Porcelain Cup - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Cover - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Saucer - 6 pieces</span></li>
</ul>",Elite Turkish Brands,,,,true,Color,Gold,,,,,12-018-K6-DSNKTM-18,21150.0,shopify,12,deny,manual,25.72,,true,true,BSM538,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-018-K6-DSNKTM-18.jpg?v=1666730676,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-018-K6-DSNKTM-18.jpg?v=1666730676,kg,,,,,active
nisa-coffee-set,,,,,,,,,Silver,,,,,12-018-K6-DSNKTM-19,21150.0,shopify,12,deny,manual,25.72,,true,true,BSM539,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-018-K6-DSNKTM-19.jpg?v=1666730696,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-018-K6-DSNKTM-19.jpg?v=1666730696,kg,,,,,
large-size-delight-case,Large Size Delight Case,,Elite Turkish Brands,,,,true,Color,Gold,,,,,13-002-18,9100.0,shopify,60,deny,manual,18.65,,true,true,BSM148,,,,false,,,,,,,,,,,,,,,,,kg,,,,,active
large-size-delight-case,,,,,,,,,Silver,,,,,13-002-11,9100.0,shopify,60,deny,manual,18.65,,true,true,BSM145,,,,,,,,,,,,,,,,,,,,,kg,,,,,
lal-mix-design-coffee-set,Lal Mix Design Coffee Set,"<p class=""selectable-text copyable-text"" data-mce-fragment=""1"">?name Metal Turkish Coffee Set with Coffee Cups, Saucers &amp; Metal Cover Turkish Coffee Espresso Serving</p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Description:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Premium Quality.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">The Cups hold 2 oz. Ideal for Turkish, Greek, and Arabic Coffee and Espresso.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Porcelain cups are removable from the holders and machine-washable.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Thick material, an Authentic Gift for anyone and honor your guests with this great coffee set.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Made in Turkey.</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Dimensions:</span></strong></h4>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Each Cup is Approximately 4.75'' x 4.10'' (12.06 cm x 10.16 cm)</span></p>
<p class=""selectable-text copyable-text"" data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<h4 class=""selectable-text copyable-text"" data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">Package/Set includes</strong>: 18 PC</span></h4>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Porcelain Cup - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Cover - 6 pieces</span></li>
<li data-mce-fragment=""1""><span class=""selectable-text copyable-text"" data-mce-fragment=""1"">Metal Saucer - 6 pieces</span></li>
</ul>",Elite Turkish Brands,,,,true,Color,Gold,,,,,12-007-K6-DSNMİX-18,21350.0,shopify,12,deny,manual,11.07,,true,true,BSM109,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-007-K6-DSNMIX-18.jpg?v=1666730427,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-007-K6-DSNMIX-18.jpg?v=1666730427,kg,,,,,active
lal-mix-design-coffee-set,,,,,,,,,Silver,,,,,12-007-K6-DSNMİX-11,21350.0,shopify,12,deny,manual,11.07,,true,true,BSM108,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-007-K6-DSNMIX-11.jpg?v=1666730488,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/12-007-K6-DSNMIX-11.jpg?v=1666730488,kg,,,,,
