Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
nisa-coffee-set,Nisa Coffee Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-018-K6-DSNKTM-18,21150,shopify,12,deny,manual,23.21,,true,true,BSM538,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
nisa-coffee-set,,,,,,,,,Silver,,,,,12-018-K6-DSNKTM-19,21150,shopify,12,deny,manual,23.21,,true,true,BSM539,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
oval-delight-case,Oval Delight Case,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,13-003-18,16200,shopify,100,deny,manual,8.9,,true,true,BSM150,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
oval-delight-case,,,,,,,,,Silver,,,,,13-003-11,16200,shopify,100,deny,manual,8.9,,true,true,BSM149,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
sefa-6-person-tea-set,Sefa 6 Person Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-006-K6-18,18550,shopify,9,deny,manual,22.11,,true,true,BSM099,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
sefa-6-person-tea-set,,,,,,,,,Silver,,,,,12-006-K6-11,18550,shopify,9,deny,manual,22.11,,true,true,BSM098,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
stony-ahsen-tea-set-of-6-persons,Stony Ahsen Tea Set Of 6 Persons ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-002-KTŞ6-18,18000,shopify,12,deny,manual,20.89,,true,true,BSM252,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
stony-ahsen-tea-set-of-6-persons,,,,,,,,,Silver,,,,,12-002-KTŞ6-11,18000,shopify,12,deny,manual,20.89,,true,true,BSM251,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
tow-floor-presentation-set,Tow Floor Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-011-K-18,10200,shopify,6,deny,manual,8.71,,true,true,BSM475,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-2-persons,Tray For 2 Persons,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-006-2-18,10200,shopify,25,deny,manual,28.8,,true,true,BSM192,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-2-persons,,,,,,,,,Silver,,,,,11-006-2-11,10200,shopify,25,deny,manual,28.8,,true,true,BSM191,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-6-persons,Tray For 6 Persons ,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-001-6-18,32000,shopify,40,deny,manual,21.02,,true,true,BSM012,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
tray-for-6-persons,,,,,,,,,Silver,,,,,11-001-6-11,32000,shopify,40,deny,manual,21.02,,true,true,BSM011,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
two-floor-porcelain-mirra-presentation-set,Two Floor Porcelain Mirra Presentation Set,,Elite Turkish Brands,,,,TRUE,Color,Silver,,,,,14-011-K-19,10200,shopify,6,deny,manual,14.83,,true,true,BSM472,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
wavy-round-tray,Wavy Round Tray,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,11-004-6-18,27200,shopify,50,deny,manual,9.96,,true,true,BSM053,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
wavy-round-tray,,,,,,,,,Silver,,,,,11-004-6-11,27200,shopify,50,deny,manual,9.96,,true,true,BSM051,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
